,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
64,AL181980,KARL,19801125,1800.0,,HU,37.7N,44.7W,65.0,988.0,,,,,,,,,,,,,1980,11,25,KARL,1980,11,0,0
65,AL101981,DENNIS,19810820,1800.0,,HU,36.3N,73.0W,65.0,995.0,,,,,,,,,,,,,1981,8,20,DENNIS,1981,8,0,1
66,AL131981,EMILY,19810904,0.0,,HU,34.6N,63.6W,65.0,976.0,,,,,,,,,,,,,1981,9,4,EMILY,1981,9,0,1
67,AL141981,FLOYD,19810905,1800.0,,HU,21.7N,67.1W,70.0,997.0,,,,,,,,,,,,,1981,9,5,FLOYD,1981,9,0,0
68,AL151981,GERT,19810910,1800.0,,HU,24.8N,74.4W,70.0,996.0,,,,,,,,,,,,,1981,9,10,GERT,1981,9,0,0
69,AL161981,HARVEY,19810913,0.0,,HU,20.2N,57.8W,70.0,990.0,,,,,,,,,,,,,1981,9,13,HARVEY,1981,9,0,0
70,AL181981,IRENE,19810925,0.0,,HU,15.6N,50.1W,65.0,987.0,,,,,,,,,,,,,1981,9,25,IRENE,1981,9,0,0
71,AL211981,KATRINA,19811105,600.0,,HU,19.6N,80.8W,65.0,988.0,,,,,,,,,,,,,1981,11,5,KATRINA,1981,11,0,0
72,AL011982,ALBERTO,19820603,1800.0,,HU,24.0N,83.6W,75.0,985.0,,,,,,,,,,,,,1982,6,3,ALBERTO,1982,6,0,1
73,AL061982,DEBBY,19820915,0.0,,HU,25.6N,71.0W,65.0,993.0,,,,,,,,,,,,,1982,9,15,DEBBY,1982,9,0,1
74,AL031983,ALICIA,19830818,700.0,L,HU,29.1N,95.1W,100.0,962.0,,,,,,,,,,,,,1983,8,18,ALICIA,1983,8,13,1
75,AL041983,BARRY,19830828,1725.0,L,HU,25.4N,97.4W,70.0,986.0,,,,,,,,,,,,,1983,8,28,BARRY,1983,8,0,1
76,AL051983,CHANTAL,19830911,1800.0,,HU,32.8N,60.0W,65.0,994.0,,,,,,,,,,,,,1983,9,11,CHANTAL,1983,9,0,0
77,AL101984,DIANA,19840913,700.0,L,HU,33.9N,78.0W,80.0,979.0,,,,,,,,,,,,,1984,9,13,DIANA,1984,9,0,1
78,AL141984,HORTENSE,19840925,1800.0,,HU,29.7N,60.8W,65.0,996.0,,,,,,,,,,,,,1984,9,25,HORTENSE,1984,9,0,0
79,AL161984,JOSEPHINE,19841010,600.0,,HU,27.2N,72.4W,65.0,987.0,,,,,,,,,,,,,1984,10,10,JOSEPHINE,1984,10,1,1
80,AL181984,KLAUS,19841108,0.0,,HU,19.4N,64.0W,65.0,992.0,,,,,,,,,,,,,1984,11,8,KLAUS,1984,11,0,1
81,AL201984,LILI,19841220,1200.0,,HU,31.1N,52.4W,70.0,980.0,,,,,,,,,,,,,1984,12,20,LILI,1984,12,0,1
82,AL021985,BOB,19850725,300.0,L,HU,32.2N,80.5W,65.0,1003.0,,,,,,,,,,,,,1985,7,25,BOB,1985,7,5,1
83,AL031985,CLAUDETTE,19850814,600.0,,HU,35.2N,52.5W,65.0,988.0,,,,,,,,,,,,,1985,8,14,CLAUDETTE,1985,8,0,1
84,AL041985,DANNY,19850815,1630.0,L,HU,29.6N,92.7W,80.0,987.0,,,,,,,,,,,,,1985,8,15,DANNY,1985,8,1,1
85,AL051985,ELENA,19850902,1300.0,L,HU,30.4N,89.2W,100.0,959.0,,,,,,,,,,,,,1985,9,2,ELENA,1985,8,4,1
86,AL091985,GLORIA,19850927,530.0,L,HU,35.2N,75.6W,90.0,942.0,,,,,,,,,,,,,1985,9,27,GLORIA,1985,9,17,1
