,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
90,AL051986,CHARLEY,19860817,1400.0,L,HU,34.7N,76.5W,65.0,990.0,,,,,,,,,,,,,1986,8,17,CHARLEY,1986,8,1,1
95,AL131987,FLOYD,19871012,2100.0,L,HU,25.1N,80.5W,65.0,993.0,,,,,,,,,,,,,1987,10,12,FLOYD,1987,10,0,1
97,AL071988,FLORENCE,19880910,200.0,L,HU,29.1N,89.3W,70.0,984.0,,,,,,,,,,,,,1988,9,10,FLORENCE,1988,9,1,1
98,AL081988,GILBERT,19880912,1700.0,L,HU,17.8N,76.8W,115.0,960.0,,,,,,,,,,,,,1988,9,12,GILBERT,1988,9,1,1
101,AL041989,CHANTAL,19890801,1300.0,L,HU,29.6N,94.4W,70.0,986.0,,,,,,,,,,,,,1989,8,1,CHANTAL,1989,8,2,1
102,AL051989,DEAN,19890802,1200.0,,HU,17.3N,58.1W,65.0,994.0,,,,,,,,,,,,,1989,8,2,DEAN,1989,8,0,1
105,AL101989,GABRIELLE,19890901,0.0,,HU,11.5N,31.7W,65.0,987.0,,,,,,,,,,,,,1989,9,1,GABRIELLE,1989,9,4,1
106,AL111989,HUGO,19890917,500.0,L,HU,16.3N,61.3W,120.0,941.0,,,,,,,,,,,,,1989,9,17,HUGO,1989,9,23,1
107,AL141989,JERRY,19891016,30.0,L,HU,29.2N,95.0W,75.0,983.0,,,,,,,,,,,,,1989,10,16,JERRY,1989,10,3,1
108,AL031990,BERTHA,19900729,0.0,,HU,30.2N,73.6W,65.0,990.0,,,,,,,,,,,,,1990,7,29,BERTHA,1990,7,0,1
113,AL131990,KLAUS,19901005,1200.0,,HU,17.2N,61.2W,70.0,985.0,,,,,,,,,,,,,1990,10,5,KLAUS,1990,10,4,1
114,AL141990,LILI,19901011,0.0,,HU,31.2N,55.9W,65.0,987.0,,,,,,,,,,,,,1990,10,11,LILI,1990,10,0,1
116,AL031991,BOB,19910819,1720.0,L,HU,41.2N,71.6W,90.0,962.0,,,,,,,,,,,,,1991,8,19,BOB,1991,8,16,1
118,AL111991,GRACE,19911028,0.0,,HU,31.6N,68.1W,65.0,985.0,,,,,,,,,,,,,1991,10,28,GRACE,1991,10,0,1
119,AL041992,ANDREW,19920823,2100.0,L,HU,25.4N,76.6W,140.0,923.0,,,,,,,,,,,,,1992,8,23,ANDREW,1992,8,48,1
123,AL051993,EMILY,19930826,1800.0,,HU,26.9N,61.7W,65.0,1004.0,,,,,,,,,,,,,1993,8,26,EMILY,1993,8,3,1
124,AL071993,FLOYD,19930909,1800.0,,HU,41.7N,58.3W,65.0,990.0,,,,,,,,,,,,,1993,9,9,FLOYD,1993,9,0,1
129,AL121994,GORDON,19941117,1800.0,,HU,31.5N,74.8W,65.0,981.0,,,,,,,,,,,,,1994,11,17,GORDON,1994,11,9,1
130,AL011995,ALLISON,19950604,1200.0,,HU,24.7N,86.2W,65.0,987.0,,,,,,,,,,,,,1995,6,4,ALLISON,1995,6,0,1
131,AL051995,ERIN,19950802,615.0,L,HU,27.7N,80.3W,75.0,984.0,,,,,,,,,,,,,1995,8,2,ERIN,1995,8,6,1
132,AL071995,FELIX,19950811,0.0,,HU,18.9N,52.4W,65.0,987.0,,,,,,,,,,,,,1995,8,11,FELIX,1995,8,8,1
135,AL131995,LUIS,19950905,1200.0,L,HU,17.5N,61.7W,115.0,945.0,,,,,,,,,,,,,1995,9,5,LUIS,1995,8,8,1
136,AL151995,MARILYN,19950914,2100.0,L,HU,15.5N,61.3W,70.0,984.0,,,,,,,,,,,,,1995,9,14,MARILYN,1995,9,0,1
138,AL171995,OPAL,19951004,2200.0,L,HU,30.3N,87.1W,100.0,942.0,,,,,,,,,,,,,1995,10,4,OPAL,1995,10,13,1
141,AL021996,BERTHA,19960712,2000.0,L,HU,34.3N,77.8W,90.0,974.0,,,,,,,,,,,,,1996,7,12,BERTHA,1996,7,10,1
143,AL041996,DOLLY,19960820,1730.0,L,HU,19.1N,87.7W,65.0,999.0,,,,,,,,,,,,,1996,8,20,DOLLY,1996,8,0,1
144,AL051996,EDOUARD,19960823,1200.0,,HU,13.9N,38.3W,65.0,988.0,,,,,,,,,,,,,1996,8,23,EDOUARD,1996,8,2,1
145,AL061996,FRAN,19960906,30.0,L,HU,33.9N,78.0W,100.0,954.0,,,,,,,,,,,,,1996,9,6,FRAN,1996,8,22,1
146,AL081996,HORTENSE,19960910,600.0,L,HU,18.0N,66.9W,70.0,989.0,,,,,,,,,,,,,1996,9,10,HORTENSE,1996,9,18,1
148,AL121996,LILI,19961018,930.0,L,HU,22.3N,82.0W,85.0,975.0,,,,,,,,,,,,,1996,10,18,LILI,1996,10,1,1
149,AL131996,MARCO,19961120,600.0,,HU,13.8N,78.5W,65.0,983.0,,,,,,,,,,,,,1996,11,20,MARCO,1996,11,0,1
151,AL051997,DANNY,19970718,900.0,L,HU,29.3N,89.7W,65.0,989.0,,,,,,,,,,,,,1997,7,18,DANNY,1997,7,9,1
152,AL071997,ERIKA,19970904,1800.0,,HU,15.2N,53.7W,65.0,999.0,,,,,,,,,,,,,1997,9,4,ERIKA,1997,9,0,1
153,AL021998,BONNIE,19980827,400.0,L,HU,34.4N,77.7W,95.0,964.0,,,,,,,,,,,,,1998,8,27,BONNIE,1998,8,5,1
154,AL041998,DANIELLE,19980825,1200.0,,HU,16.2N,43.3W,65.0,990.0,,,,,,,,,,,,,1998,8,25,DANIELLE,1998,8,0,1
155,AL051998,EARL,19980903,600.0,L,HU,30.1N,85.7W,70.0,987.0,,,,,,,,,,,,,1998,9,3,EARL,1998,9,3,1
156,AL071998,GEORGES,19980921,430.0,L,HU,17.0N,61.7W,100.0,966.0,,,,,,,,,,,,,1998,9,21,GEORGES,1998,9,1,1
159,AL111998,KARL,19980925,1200.0,,HU,30.4N,54.0W,65.0,987.0,,,,,,,,,,,,,1998,9,25,KARL,1998,9,0,1
161,AL131998,MITCH,19981029,1200.0,L,HU,15.9N,85.7W,70.0,987.0,,,,,,,,,,,,,1998,10,29,MITCH,1998,10,2,1
163,AL031999,BRET,19990823,0.0,L,HU,26.9N,97.4W,100.0,951.0,,,,,,,,,,,,,1999,8,23,BRET,1999,8,0,1
165,AL051999,DENNIS,19990828,700.0,L,HU,26.6N,76.8W,75.0,976.0,,,,,,,,,,,,,1999,8,28,DENNIS,1999,8,3,1
166,AL081999,FLOYD,19990914,1200.0,L,HU,25.4N,76.3W,105.0,930.0,,,,,,,,,,,,,1999,9,14,FLOYD,1999,9,42,1
167,AL091999,GERT,19990913,1200.0,,HU,15.9N,39.2W,65.0,984.0,,,,,,,,,,,,,1999,9,13,GERT,1999,9,2,1
168,AL131999,IRENE,19991015,1300.0,L,HU,24.6N,81.6W,65.0,987.0,,,,,,,,,,,,,1999,10,15,IRENE,1999,10,2,1
169,AL141999,JOSE,19991020,1600.0,L,HU,17.1N,61.7W,80.0,982.0,,,,,,,,,,,,,1999,10,20,JOSE,1999,10,0,1
172,AL072000,DEBBY,20000822,600.0,L,HU,17.5N,61.7W,65.0,993.0,,,,,,,,,,,,,2000,8,22,DEBBY,2000,8,0,1
173,AL102000,FLORENCE,20000911,1800.0,,HU,30.1N,72.6W,65.0,998.0,,,,,,,,,,,,,2000,9,11,FLORENCE,2000,9,3,1
174,AL112000,GORDON,20000917,0.0,,HU,25.2N,85.4W,65.0,985.0,,,,,,,,,,,,,2000,9,17,GORDON,2000,9,1,1
175,AL132000,ISAAC,20000923,1200.0,,HU,14.3N,33.2W,70.0,984.0,,,,,,,,,,,,,2000,9,23,ISAAC,2000,9,0,1
178,AL172000,MICHAEL,20001017,1800.0,,HU,30.1N,70.9W,65.0,988.0,,,,,,,,,,,,,2000,10,17,MICHAEL,2000,10,0,1
179,AL062001,ERIN,20010909,0.0,,HU,29.7N,60.4W,75.0,987.0,,,,,,,,,,,,,2001,9,9,ERIN,2001,9,0,1
181,AL082001,GABRIELLE,20010917,0.0,,HU,33.1N,70.7W,65.0,991.0,,,,,,,,,,,,,2001,9,17,GABRIELLE,2001,9,3,1
185,AL152001,MICHELLE,20011104,1800.0,L,HU,21.5N,81.8W,120.0,949.0,,,,,,,,,,,,,2001,11,4,MICHELLE,2001,11,0,1
